Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"3C-digital PCR for quantification of chromatin interactions.","/pubmed/27923366","Du M, Wang L.","BMC Mol Biol. 2016 Dec 6;17(1):23.","BMC Mol Biol.  2016","PubMed","citation","PMID:27923366 | PMCID:PMC5139078","pubmed","27923366","create date:2016/12/08 | first author:Du M",
"Increased cell-free mitochondrial DNA is a marker of ongoing inflammation and better neurocognitive function in virologically suppressed HIV-infected individuals.","/pubmed/27921220","Pérez-Santiago J, De Oliveira MF, Var SR, Day TR, Woods SP, Gianella S, Mehta SR.","J Neurovirol. 2017 Apr;23(2):283-289. doi: 10.1007/s13365-016-0497-5.","J Neurovirol.  2017","PubMed","citation","PMID:27921220","pubmed","27921220","create date:2016/12/07 | first author:Pérez-Santiago J",
"Circulating human papillomavirus DNA detected using droplet digital PCR in the serum of patients diagnosed with early stage human papillomavirus-associated invasive carcinoma.","/pubmed/27917295","Jeannot E, Becette V, Campitelli M, Calméjane MA, Lappartient E, Ruff E, Saada S, Holmes A, Bellet D, Sastre-Garau X.","J Pathol Clin Res. 2016 Jun 28;2(4):201-209.","J Pathol Clin Res.  2016","PubMed","citation","PMID:27917295 | PMCID:PMC5129558","pubmed","27917295","create date:2016/12/06 | first author:Jeannot E",
"A Study of TP53 RNA Splicing Illustrates Pitfalls of RNA-seq Methodology.","/pubmed/27913434","Mehta S, Tsai P, Lasham A, Campbell H, Reddel R, Braithwaite A, Print C.","Cancer Res. 2016 Dec 15;76(24):7151-7159.","Cancer Res.  2016","PubMed","citation","PMID:27913434","pubmed","27913434","create date:2016/12/04 | first author:Mehta S",
"Detection of Mutations in Mitochondrial DNA by Droplet Digital PCR.","/pubmed/27908228","Sofronova JK, Ilinsky YY, Orishchenko KE, Chupakhin EG, Lunev EA, Mazunin IO.","Biochemistry (Mosc). 2016 Oct;81(10):1031-1037. Review.","Biochemistry (Mosc).  2016","PubMed","citation","PMID:27908228","pubmed","27908228","create date:2016/12/03 | first author:Sofronova JK",
"Tumour-suppressor microRNAs regulate ovarian cancer cell physical properties and invasive behaviour.","/pubmed/27906134","Chan CK, Pan Y, Nyberg K, Marra MA, Lim EL, Jones SJ, Maar D, Gibb EA, Gunaratne PH, Robertson AG, Rowat AC.","Open Biol. 2016 Nov;6(11). pii: 160275.","Open Biol.  2016","PubMed","citation","PMID:27906134 | PMCID:PMC5133448","pubmed","27906134","create date:2016/12/03 | first author:Chan CK",
"Methylation-sensitive enrichment of minor DNA alleles using a double-strand DNA-specific nuclease.","/pubmed/27903892","Liu Y, Song C, Ladas I, Fitarelli-Kiehl M, Makrigiorgos GM.","Nucleic Acids Res. 2016 Nov 29. pii: gkw1166. [Epub ahead of print]","Nucleic Acids Res.  2016","PubMed","citation","PMID:27903892","pubmed","27903892","create date:2016/12/03 | first author:Liu Y",
"Identification and Characterization of Quantitative Trait Loci for Shattering in Rice Landrace Jiucaiqing from Taihu Lake Valley, China.","/pubmed/27902802","Cheng J, He Y, Zhan C, Yang B, Xu E, Zhang H, Wang Z.","Plant Genome. 2016 Nov;9(3). doi: 10.3835/plantgenome2016.03.0034.","Plant Genome.  2016","PubMed","citation","PMID:27902802","pubmed","27902802","create date:2016/12/03 | first author:Cheng J",
"Digital gene expression profiling analysis of duodenum transcriptomes in SD rats administered ferrous sulfate or ferrous glycine chelate by gavage.","/pubmed/27901057","Zhuo Z, Fang S, Hu Q, Huang D, Feng J.","Sci Rep. 2016 Nov 30;6:37923. doi: 10.1038/srep37923.","Sci Rep.  2016","PubMed","citation","PMID:27901057 | PMCID:PMC5128800","pubmed","27901057","create date:2016/12/03 | first author:Zhuo Z",
"Circulating tumour DNA analysis demonstrates spatial mutational heterogeneity that coincides with disease relapse in myeloma.","/pubmed/27899805","Mithraprabhu S, Khong T, Ramachandran M, Chow A, Klarica D, Mai L, Walsh S, Broemeling D, Marziali A, Wiggin M, Hocking J, Kalff A, Durie B, Spencer A.","Leukemia. 2017 Jan 3. doi: 10.1038/leu.2016.366. [Epub ahead of print]","Leukemia.  2017","PubMed","citation","PMID:27899805","pubmed","27899805","create date:2016/12/03 | first author:Mithraprabhu S",
"Reactivation of simian immunodeficiency virus reservoirs in the brain of virally suppressed macaques.","/pubmed/27898590","Gama L, Abreu CM, Shirk EN, Price SL, Li M, Laird GM, Pate KA, Wietgrefe SW, O'Connor SL, Pianowski L, Haase AT, Van Lint C, Siliciano RF, Clements JE; LRA-SIV Study Group..","AIDS. 2017 Jan 2;31(1):5-14.","AIDS.  2017","PubMed","citation","PMID:27898590 | PMCID:PMC5131686","pubmed","27898590","create date:2016/11/30 | first author:Gama L",
"Transcriptional regulation of the sodium channel gene (SCN5A) by GATA4 in human heart.","/pubmed/27894866","Tarradas A, Pinsach-Abuin ML, Mackintosh C, Llorà-Batlle O, Pérez-Serra A, Batlle M, Pérez-Villa F, Zimmer T, Garcia-Bassets I, Brugada R, Beltran-Alvarez P, Pagans S.","J Mol Cell Cardiol. 2017 Jan;102:74-82. doi: 10.1016/j.yjmcc.2016.10.013.","J Mol Cell Cardiol.  2017","PubMed","citation","PMID:27894866","pubmed","27894866","create date:2016/11/30 | first author:Tarradas A",
"Vertical Magnetic Separation of Circulating Tumor Cells for Somatic Genomic-Alteration Analysis in Lung Cancer Patients.","/pubmed/27892470","Yoo CE, Park JM, Moon HS, Joung JG, Son DS, Jeon HJ, Kim YJ, Han KY, Sun JM, Park K, Park D, Park WY.","Sci Rep. 2016 Nov 28;6:37392. doi: 10.1038/srep37392.","Sci Rep.  2016","PubMed","citation","PMID:27892470 | PMCID:PMC5124952","pubmed","27892470","create date:2016/11/29 | first author:Yoo CE",
"Integration of isothermal amplification methods in microfluidic devices: Recent advances.","/pubmed/27888686","Giuffrida MC, Spoto G.","Biosens Bioelectron. 2017 Apr 15;90:174-186. doi: 10.1016/j.bios.2016.11.045. Review.","Biosens Bioelectron.  2017","PubMed","citation","PMID:27888686","pubmed","27888686","create date:2016/11/27 | first author:Giuffrida MC",
"Transcriptome Analysis and Identification of Genes Associated with Floral Transition and Flower Development in Sugar Apple (Annona squamosa L.).","/pubmed/27881993","Liu K, Feng S, Pan Y, Zhong J, Chen Y, Yuan C, Li H.","Front Plant Sci. 2016 Nov 9;7:1695.","Front Plant Sci.  2016","PubMed","citation","PMID:27881993 | PMCID:PMC5101194","pubmed","27881993","create date:2016/11/25 | first author:Liu K",
"Superiority of Digital Reverse Transcription-PCR (RT-PCR) over Real-Time RT-PCR for Quantitation of Highly Divergent Human Rhinoviruses.","/pubmed/27881615","Sedlak RH, Nguyen T, Palileo I, Jerome KR, Kuypers J.","J Clin Microbiol. 2017 Feb;55(2):442-449. doi: 10.1128/JCM.01970-16.","J Clin Microbiol.  2017","PubMed","citation","PMID:27881615 | PMCID:PMC5277513","pubmed","27881615","create date:2016/11/25 | first author:Sedlak RH",
"Resistance Training Alters the Proportion of Skeletal Muscle Fibers but Not Brain Neurotrophic Factors in Young Adult Rats.","/pubmed/27870699","Antonio-Santos J, Ferreira DJ, Gomes Costa GL, Matos RJ, Toscano AE, Manhães-de-Castro R, Leandro CG.","J Strength Cond Res. 2016 Dec;30(12):3531-3538.","J Strength Cond Res.  2016","PubMed","citation","PMID:27870699 | PMCID:PMC5145253","pubmed","27870699","create date:2016/11/22 | first author:Antonio-Santos J",
"Digital PCR for Quantifying Norovirus in Oysters Implicated in Outbreaks, France.","/pubmed/27869597","Polo D, Schaeffer J, Fournet N, Le Saux JC, Parnaudeau S, McLeod C, Le Guyader FS.","Emerg Infect Dis. 2016 Dec;22(12):2189-2191. doi: 10.3201/eid2212.160841.","Emerg Infect Dis.  2016","PubMed","citation","PMID:27869597 | PMCID:PMC5189157","pubmed","27869597","create date:2016/11/22 | first author:Polo D",
"MicroRNA biomarkers of pancreatic injury in a canine model.","/pubmed/27866884","Rouse R, Rosenzweig B, Shea K, Knapton A, Stewart S, Xu L, Chockalingam A, Zadrozny L, Thompson K.","Exp Toxicol Pathol. 2017 Jan;69(1):33-43. doi: 10.1016/j.etp.2016.11.001.","Exp Toxicol Pathol.  2017","PubMed","citation","PMID:27866884","pubmed","27866884","create date:2016/11/22 | first author:Rouse R",
"[Research Advancement on EGFR Mutation Detection of Cell-free DNA and Tumor Cell in Peripheral Blood of Patients with Non-small Cell Lung Cancer].","/pubmed/27866520","Zhang Y, Xu Y, Wang M.","Zhongguo Fei Ai Za Zhi. 2016 Nov 20;19(11):766-772. Chinese. ","Zhongguo Fei Ai Za Zhi.  2016","PubMed","citation","PMID:27866520","pubmed","27866520","create date:2016/11/22 | first author:Zhang Y",
"A Comparison of Cell-Free DNA Isolation Kits: Isolation and Quantification of Cell-Free DNA in Plasma.","/pubmed/27865784","Sorber L, Zwaenepoel K, Deschoolmeester V, Roeyen G, Lardon F, Rolfo C, Pauwels P.","J Mol Diagn. 2017 Jan;19(1):162-168. doi: 10.1016/j.jmoldx.2016.09.009.","J Mol Diagn.  2017","PubMed","citation","PMID:27865784","pubmed","27865784","create date:2016/11/21 | first author:Sorber L",
"Characterizing nuclear and mitochondrial DNA in spent embryo culture media: genetic contamination identified.","/pubmed/27865449","Hammond ER, McGillivray BC, Wicker SM, Peek JC, Shelling AN, Stone P, Chamley LW, Cree LM.","Fertil Steril. 2017 Jan;107(1):220-228.e5. doi: 10.1016/j.fertnstert.2016.10.015.","Fertil Steril.  2017","PubMed","citation","PMID:27865449","pubmed","27865449","create date:2016/11/21 | first author:Hammond ER",
"Quantification of tumor-derived cell free DNA(cfDNA) by digital PCR (DigPCR) in cerebrospinal fluid of patients with BRAFV600 mutated malignancies.","/pubmed/27863426","Momtaz P, Pentsova E, Abdel-Wahab O, Diamond E, Hyman D, Merghoub T, You D, Gasmi B, Viale A, Chapman PB.","Oncotarget. 2016 Dec 20;7(51):85430-85436. doi: 10.18632/oncotarget.13397.","Oncotarget.  2016","PubMed","citation","PMID:27863426","pubmed","27863426","create date:2016/11/20 | first author:Momtaz P",
"A Segmental Copy Number Loss of the SFMBT1 Gene Is a Genetic Risk for Shunt-Responsive, Idiopathic Normal Pressure Hydrocephalus (iNPH): A Case-Control Study.","/pubmed/27861535","Sato H, Takahashi Y, Kimihira L, Iseki C, Kato H, Suzuki Y, Igari R, Sato H, Koyama S, Arawaka S, Kawanami T, Miyajima M, Samejima N, Sato S, Kameda M, Yamada S, Kita D, Kaijima M, Date I, Sonoda Y, Kayama T, Kuwana N, et al.","PLoS One. 2016 Nov 18;11(11):e0166615. doi: 10.1371/journal.pone.0166615.","PLoS One.  2016","PubMed","citation","PMID:27861535 | PMCID:PMC5115754","pubmed","27861535","create date:2016/11/20 | first author:Sato H",
"DNA Barcoding for Efficient Species- and Pathovar-Level Identification of the Quarantine Plant Pathogen Xanthomonas.","/pubmed/27861494","Tian Q, Zhao W, Lu S, Zhu S, Li S.","PLoS One. 2016 Nov 18;11(11):e0165995. doi: 10.1371/journal.pone.0165995.","PLoS One.  2016","PubMed","citation","PMID:27861494 | PMCID:PMC5115671","pubmed","27861494","create date:2016/11/20 | first author:Tian Q",
"Digital PCR identifies changes in CDH1 (E-cadherin) transcription pattern in intestinal-type gastric cancer.","/pubmed/27861150","Abou Khouzam R, Molinari C, Salvi S, Marabelli M, Molinaro V, Orioli D, Saragoni L, Morgagni P, Calistri D, Ranzani GN.","Oncotarget. 2016 Nov 16. doi: 10.18632/oncotarget.13401. [Epub ahead of print]","Oncotarget.  2016","PubMed","citation","PMID:27861150","pubmed","27861150","create date:2016/11/20 | first author:Abou Khouzam R",
"Efficiency and sensitivity of the digital droplet PCR for the quantification of antibiotic resistance genes in soils and organic residues.","/pubmed/27844142","Cavé L, Brothier E, Abrouk D, Bouda PS, Hien E, Nazaret S.","Appl Microbiol Biotechnol. 2016 Dec;100(24):10597-10608.","Appl Microbiol Biotechnol.  2016","PubMed","citation","PMID:27844142","pubmed","27844142","create date:2016/11/16 | first author:Cavé L",
"Monitoring Minimal Residual Disease in the Myeloproliferative Neoplasms: Current Applications and Emerging Approaches.","/pubmed/27840830","Haslam K, Langabeer SE.","Biomed Res Int. 2016;2016:7241591. Review.","Biomed Res Int.  2016","PubMed","citation","PMID:27840830 | PMCID:PMC5093244","pubmed","27840830","create date:2016/11/15 | first author:Haslam K",
"Development of a Droplet Digital Polymerase Chain Reaction for Rapid and Simultaneous Identification of Common Foodborne Pathogens in Soft Cheese.","/pubmed/27840628","Cremonesi P, Cortimiglia C, Picozzi C, Minozzi G, Malvisi M, Luini M, Castiglioni B.","Front Microbiol. 2016 Oct 28;7:1725.","Front Microbiol.  2016","PubMed","citation","PMID:27840628 | PMCID:PMC5083709","pubmed","27840628","create date:2016/11/15 | first author:Cremonesi P",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Random shearing as an alternative to digestion for mitochondrial DNA processing in droplet digital PCR.","/pubmed/27838478","Vitomirov A, Ramirez-Gaona M, Mehta SR, Pérez-Santiago J.","Mitochondrion. 2017 Jan;32:16-18. doi: 10.1016/j.mito.2016.11.005.","Mitochondrion.  2017","PubMed","citation","PMID:27838478 | PMCID:PMC5218872","pubmed","27838478","create date:2016/11/14 | first author:Vitomirov A",
"Comparative transcriptome profiling of chilling stress responsiveness in grafted watermelon seedlings.","/pubmed/27837724","Xu J, Zhang M, Liu G, Yang X, Hou X.","Plant Physiol Biochem. 2016 Dec;109:561-570. doi: 10.1016/j.plaphy.2016.11.002.","Plant Physiol Biochem.  2016","PubMed","citation","PMID:27837724","pubmed","27837724","create date:2016/11/13 | first author:Xu J",
"HER2 mRNA transcript quantitation in breast cancer.","/pubmed/27837339","Meehan K, Clynick B, Mirzai B, Maslen P, Harvey JM, Erber WN.","Clin Transl Oncol. 2016 Nov 11. [Epub ahead of print]","Clin Transl Oncol.  2016","PubMed","citation","PMID:27837339","pubmed","27837339","create date:2016/11/12 | first author:Meehan K",
"Activins and their related proteins in colon carcinogenesis: insights from early and advanced azoxymethane rat models of colon cancer.","/pubmed/27835986","Refaat B, El-Shemi AG, Mohamed AM, Kensara OA, Ahmad J, Idris S.","BMC Cancer. 2016 Nov 11;16(1):879.","BMC Cancer.  2016","PubMed","citation","PMID:27835986 | PMCID:PMC5106801","pubmed","27835986","create date:2016/11/12 | first author:Refaat B",
"Droplet digital PCR analysis of NOTCH1 gene mutations in chronic lymphocytic leukemia.","/pubmed/27835908","Minervini A, Francesco Minervini C, Anelli L, Zagaria A, Casieri P, Coccaro N, Cumbo C, Tota G, Impera L, Orsini P, Brunetti C, Giordano A, Specchia G, Albano F.","Oncotarget. 2016 Dec 27;7(52):86469-86479. doi: 10.18632/oncotarget.13246.","Oncotarget.  2016","PubMed","citation","PMID:27835908","pubmed","27835908","create date:2016/11/12 | first author:Minervini A",
"Digital quantification of gene methylation in stool DNA by emulsion-PCR coupled with hydrogel immobilized bead-array.","/pubmed/27829567","Liu Y, Wu H, Zhou Q, Song Q, Rui J, Zou B, Zhou G.","Biosens Bioelectron. 2017 Jun 15;92:596-601. doi: 10.1016/j.bios.2016.10.054. Epub 2016 Oct 22.","Biosens Bioelectron.  2017","PubMed","citation","PMID:27829567","pubmed","27829567","create date:2016/11/11 | first author:Liu Y",
"Detecting Genetic Mosaicism in Cultures of Human Pluripotent Stem Cells.","/pubmed/27829140","Baker D, Hirst AJ, Gokhale PJ, Juarez MA, Williams S, Wheeler M, Bean K, Allison TF, Moore HD, Andrews PW, Barbaric I.","Stem Cell Reports. 2016 Nov 8;7(5):998-1012. doi: 10.1016/j.stemcr.2016.10.003.","Stem Cell Reports.  2016","PubMed","citation","PMID:27829140 | PMCID:PMC5106530","pubmed","27829140","create date:2016/11/10 | first author:Baker D",
"Development and validation of an ultra-high sensitive next-generation sequencing assay for molecular diagnosis of clinical oncology.","/pubmed/27826616","Liang J, She Y, Zhu J, Wei L, Zhang L, Gao L, Wang Y, Xing J, Guo Y, Meng X, Li P.","Int J Oncol. 2016 Nov;49(5):2088-2104. doi: 10.3892/ijo.2016.3707.","Int J Oncol.  2016","PubMed","citation","PMID:27826616","pubmed","27826616","create date:2016/11/09 | first author:Liang J",
"Next generation sequencing techniques in liquid biopsy: focus on non-small cell lung cancer patients.","/pubmed/27826531","Malapelle U, Pisapia P, Rocco D, Smeraglio R, di Spirito M, Bellevicine C, Troncone G.","Transl Lung Cancer Res. 2016 Oct;5(5):505-510. Review.","Transl Lung Cancer Res.  2016","PubMed","citation","PMID:27826531 | PMCID:PMC5099511","pubmed","27826531","create date:2016/11/09 | first author:Malapelle U",
"Arabidopsis thaliana population analysis reveals high plasticity of the genomic region spanning MSH2, AT3G18530 and AT3G18535 genes and provides evidence for NAHR-driven recurrent CNV events occurring in this location.","/pubmed/27825302","Zmienko A, Samelak-Czajka A, Kozlowski P, Szymanska M, Figlerowicz M.","BMC Genomics. 2016 Nov 8;17(1):893.","BMC Genomics.  2016","PubMed","citation","PMID:27825302 | PMCID:PMC5101643","pubmed","27825302","create date:2016/11/09 | first author:Zmienko A",
"Quantitative DNA Analysis Using Droplet Digital PCR.","/pubmed/27822863","Vossen RH, White SJ.","Methods Mol Biol. 2017;1492:167-177.","Methods Mol Biol.  2017","PubMed","citation","PMID:27822863","pubmed","27822863","create date:2016/11/09 | first author:Vossen RH",
"Advances in digital polymerase chain reaction (dPCR) and its emerging biomedical applications.","/pubmed/27818047","Cao L, Cui X, Hu J, Li Z, Choi JR, Yang Q, Lin M, Ying Hui L, Xu F.","Biosens Bioelectron. 2017 Apr 15;90:459-474. doi: 10.1016/j.bios.2016.09.082. Review.","Biosens Bioelectron.  2017","PubMed","citation","PMID:27818047","pubmed","27818047","create date:2016/11/08 | first author:Cao L",
"Single Nucleotide Polymorphisms in IL8 and TLR4 Genes as Candidates for Digital Dermatitis Resistance/Susceptibility in Holstein Cattle.","/pubmed/27813832","El-Shafaey ES, Ateya A, Ramadan H, Saleh R, Elseady Y, Abo El Fadl E, El-Khodery S.","Anim Biotechnol. 2016 Nov 4:1-7. [Epub ahead of print]","Anim Biotechnol.  2016","PubMed","citation","PMID:27813832","pubmed","27813832","create date:2016/11/05 | first author:El-Shafaey ES",
"FOXL2 402C>G Mutation Can Be Identified in the Circulating Tumor DNA of Patients with Adult-Type Granulosa Cell Tumor.","/pubmed/27810330","Färkkilä A, McConechy MK, Yang W, Talhouk A, Ng Y, Lum A, Morin RD, Bushell K, Riska A, McAlpine JN, Gilks CB, Unkila-Kallio L, Anttonen M, Huntsman DG.","J Mol Diagn. 2017 Jan;19(1):126-136. doi: 10.1016/j.jmoldx.2016.08.005.","J Mol Diagn.  2017","PubMed","citation","PMID:27810330","pubmed","27810330","create date:2016/11/05 | first author:Färkkilä A",
"State of the Art of Chromosome 18-Centric HPP in 2016: Transcriptome and Proteome Profiling of Liver Tissue and HepG2 Cells.","/pubmed/27527821","Poverennaya EV, Kopylov AT, Ponomarenko EA, Ilgisonis EV, Zgoda VG, Tikhonova OV, Novikova SE, Farafonova TE, Kiseleva YY, Radko SP, Vakhrushev IV, Yarygin KN, Moshkovskii SA, Kiseleva OI, Lisitsa AV, Sokolov AS, Mazur AM, Prokhortchouk EB, Skryabin KG, Kostrjukova ES, Tyakht AV, Gorbachev AY, et al.","J Proteome Res. 2016 Nov 4;15(11):4030-4038.","J Proteome Res.  2016","PubMed","citation","PMID:27527821","pubmed","27527821","create date:2016/11/05 | first author:Poverennaya EV",
"Validation of droplet digital PCR for the detection and absolute quantification of Borrelia DNA in Ixodes scapularis ticks.","/pubmed/27806739","King JL, Smith AD, Mitchell EA, Allen MS.","Parasitology. 2016 Nov 3:1-9. [Epub ahead of print]","Parasitology.  2016","PubMed","citation","PMID:27806739","pubmed","27806739","create date:2016/11/04 | first author:King JL",
"Uterine Microbiota and Immune Parameters Associated with Fever in Dairy Cows with Metritis.","/pubmed/27802303","Jeon SJ, Cunha F, Ma X, Martinez N, Vieira-Neto A, Daetz R, Bicalho RC, Lima S, Santos JE, Jeong KC, Galvão KN.","PLoS One. 2016 Nov 1;11(11):e0165740. doi: 10.1371/journal.pone.0165740.","PLoS One.  2016","PubMed","citation","PMID:27802303 | PMCID:PMC5089738","pubmed","27802303","create date:2016/11/02 | first author:Jeon SJ",
"Kinetics, prognostic and predictive values of ESR1 circulating mutations in metastatic breast cancer patients progressing on aromatase inhibitor.","/pubmed/27801670","Clatot F, Perdrix A, Augusto L, Beaussire L, Delacour J, Calbrix C, Sefrioui D, Viailly PJ, Bubenheim M, Moldovan C, Alexandru C, Tennevet I, Rigal O, Guillemet C, Leheurteur M, Gouérant S, Petrau C, Théry JC, Picquenot JM, Veyret C, Frébourg T, Jardin F, et al.","Oncotarget. 2016 Nov 15;7(46):74448-74459. doi: 10.18632/oncotarget.12950.","Oncotarget.  2016","PubMed","citation","PMID:27801670","pubmed","27801670","create date:2016/11/02 | first author:Clatot F",
"Precise Quantitation of MicroRNA in a Single Cell with Droplet Digital PCR Based on Ligation Reaction.","/pubmed/27800678","Tian H, Sun Y, Liu C, Duan X, Tang W, Li Z.","Anal Chem. 2016 Dec 6;88(23):11384-11389.","Anal Chem.  2016","PubMed","citation","PMID:27800678","pubmed","27800678","create date:2016/11/02 | first author:Tian H",
"Investigation of EZH2 pathways for novel epigenetic treatment strategies in oropharyngeal cancer.","/pubmed/27793210","Idris S, Lindsay C, Kostiuk M, Andrews C, Côté DW, O'Connell DA, Harris J, Seikaly H, Biron VL.","J Otolaryngol Head Neck Surg. 2016 Oct 28;45(1):54.","J Otolaryngol Head Neck Surg.  2016","PubMed","citation","PMID:27793210 | PMCID:PMC5084374","pubmed","27793210","create date:2016/10/30 | first author:Idris S",
"Droplet digital PCR is a powerful technique to demonstrate frequent FGFR1 duplication in dysembryoplastic neuroepithelial tumors.","/pubmed/27791984","Fina F, Barets D, Colin C, Bouvier C, Padovani L, Nanni-Metellus I, Ouafik L, Scavarda D, Korshunov A, Jones DT, Figarella-Branger D.","Oncotarget. 2017 Jan 10;8(2):2104-2113. doi: 10.18632/oncotarget.12881.","Oncotarget.  2017","PubMed","citation","PMID:27791984","pubmed","27791984","create date:2016/10/30 | first author:Fina F",
"The Droplet Digital PCR: A New Valid Molecular Approach for the Assessment of B-RAF V600E Mutation in Hairy Cell Leukemia.","/pubmed/27790140","Guerrini F, Paolicchi M, Ghio F, Ciabatti E, Grassi S, Salehzadeh S, Ercolano G, Metelli MR, Del Re M, Iovino L, Petrini I, Carulli G, Cecconi N, Rousseau M, Cervetti G, Galimberti S.","Front Pharmacol. 2016 Oct 13;7:363.","Front Pharmacol.  2016","PubMed","citation","PMID:27790140 | PMCID:PMC5061817","pubmed","27790140","create date:2016/10/30 | first author:Guerrini F",
"Analysis of Base-Position Error Rate of Next-Generation Sequencing to Detect Tumor Mutations in Circulating DNA.","/pubmed/27624137","Pécuchet N, Rozenholc Y, Zonta E, Pietraz D, Didelot A, Combe P, Gibault L, Bachet JB, Taly V, Fabre E, Blons H, Laurent-Puig P.","Clin Chem. 2016 Nov;62(11):1492-1503.","Clin Chem.  2016","PubMed","citation","PMID:27624137","pubmed","27624137","create date:2016/10/30 | first author:Pécuchet N",
"Detection of KRAS Mutations in Circulating Tumor DNA by Digital PCR in Early Stages of Pancreatic Cancer.","/pubmed/27591291","Brychta N, Krahn T, von Ahsen O.","Clin Chem. 2016 Nov;62(11):1482-1491.","Clin Chem.  2016","PubMed","citation","PMID:27591291","pubmed","27591291","create date:2016/10/30 | first author:Brychta N",
"Event-specific detection of transgenic potato AV43-6-G7 using real-time and digital PCR methods.","/pubmed/27784303","Gao H, Yu X, Deng T, Sun M, Xiao X, Huang X, Chen Y, Li R.","BMC Biotechnol. 2016 Oct 27;16(1):74.","BMC Biotechnol.  2016","PubMed","citation","PMID:27784303 | PMCID:PMC5081928","pubmed","27784303","create date:2016/10/28 | first author:Gao H",
"Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.","/pubmed/27780738","Yagi Y, Ohkubo T, Kawaji H, Machida A, Miyata H, Goda S, Roy S, Hayashizaki Y, Suzuki H, Yokota T.","Neurosci Lett. 2017 Jan 1;636:48-57. doi: 10.1016/j.neulet.2016.10.042.","Neurosci Lett.  2017","PubMed","citation","PMID:27780738","pubmed","27780738","create date:2016/10/27 | first author:Yagi Y",
"Inherited Chromosomally Integrated Human Herpesvirus 6 and Breast Cancer.","/pubmed/27777240","Gravel A, Dubuc I, Brooks-Wilson A, Aronson KJ, Simard J, Velásquez-García HA, Spinelli JJ, Flamand L.","Cancer Epidemiol Biomarkers Prev. 2017 Mar;26(3):425-427. doi: 10.1158/1055-9965.EPI-16-0735.","Cancer Epidemiol Biomarkers Prev.  2017","PubMed","citation","PMID:27777240","pubmed","27777240","create date:2016/10/26 | first author:Gravel A",
"Characterization of Aspergillus section Nigri species populations in vineyard soil using droplet digital PCR.","/pubmed/27604045","Palumbo JD, O'Keeffe TL, Fidelibus MW.","Lett Appl Microbiol. 2016 Dec;63(6):458-465. doi: 10.1111/lam.12667.","Lett Appl Microbiol.  2016","PubMed","citation","PMID:27604045","pubmed","27604045","create date:2016/10/26 | first author:Palumbo JD",
"A diverse group of small circular ssDNA viral genomes in human and non-human primate stools.","/pubmed/27774288","Ng TF, Zhang W, Sachsenröder J, Kondov NO, da Costa AC, Vega E, Holtz LR, Wu G, Wang D, Stine CO, Antonio M, Mulvaney US, Muench MO, Deng X, Ambert-Balay K, Pothier P, Vinjé J, Delwart E.","Virus Evol. 2015 Dec 31;1(1):vev017.","Virus Evol.  2015","PubMed","citation","PMID:27774288 | PMCID:PMC5014484","pubmed","27774288","create date:2016/10/25 | first author:Ng TF",
"Droplet Digital PCR Analysis of GSTM1 Deletion Polymorphism in Psoriatic Subjects Treated with Goeckerman Therapy.","/pubmed/27639151","Beránek M, Fiala Z, Kremláček J, Andrýs C, Hamáková K, Palička V, Borská L.","Acta Medica (Hradec Kralove). 2016;59(3):75-78. doi: 10.14712/18059694.2016.94.","Acta Medica (Hradec Kralove).  2016","PubMed","citation","PMID:27639151","pubmed","27639151","create date:2016/10/25 | first author:Beránek M",
"Clinical Application of Picodroplet Digital PCR Technology for Rapid Detection of EGFR T790M in Next-Generation Sequencing Libraries and DNA from Limited Tumor Samples.","/pubmed/27631691","Borsu L, Intrieri J, Thampi L, Yu H, Riely G, Nafa K, Chandramohan R, Ladanyi M, Arcila ME.","J Mol Diagn. 2016 Nov;18(6):903-911. doi: 10.1016/j.jmoldx.2016.07.004.","J Mol Diagn.  2016","PubMed","citation","PMID:27631691","pubmed","27631691","create date:2016/10/25 | first author:Borsu L",
"EGFR mutation status of paired cerebrospinal fluid and plasma samples in EGFR mutant non-small cell lung cancer with leptomeningeal metastases.","/pubmed/27770237","Zhao J, Ye X, Xu Y, Chen M, Zhong W, Sun Y, Yang Z, Zhu G, Gu Y, Wang M.","Cancer Chemother Pharmacol. 2016 Dec;78(6):1305-1310.","Cancer Chemother Pharmacol.  2016","PubMed","citation","PMID:27770237","pubmed","27770237","create date:2016/10/23 | first author:Zhao J",
"Genomic copy number variation association study in Caucasian patients with nonsyndromic cryptorchidism.","/pubmed/27769252","Wang Y, Li J, Kolon TF, Olivant Fisher A, Figueroa TE, BaniHani AH, Hagerty JA, Gonzalez R, Noh PH, Chiavacci RM, Harden KR, Abrams DJ, Stabley D, Kim CE, Sol-Church K, Hakonarson H, Devoto M, Barthold JS.","BMC Urol. 2016 Oct 21;16(1):62.","BMC Urol.  2016","PubMed","citation","PMID:27769252 | PMCID:PMC5073740","pubmed","27769252","create date:2016/10/23 | first author:Wang Y",
